2023-11-15_13-08-34-+0000 {"e":"aggTrade","E":1700053713670,"a":1421458448,"s":"ETHUSDT","p":"2016.57","q":"2.476","f":3361695260,"l":3361695261,"T":1700053713517,"m":true}
2023-11-15_13-08-34-+0000 {"e":"aggTrade","E":1700053714028,"a":1421458449,"s":"ETHUSDT","p":"2016.57","q":"2.632","f":3361695262,"l":3361695269,"T":1700053713919,"m":true}
2023-11-15_13-08-35-+0000 {"e":"aggTrade","E":1700053714179,"a":1421458450,"s":"ETHUSDT","p":"2016.57","q":"1.013","f":3361695270,"l":3361695272,"T":1700053714026,"m":true}
2023-11-15_13-08-35-+0000 {"e":"aggTrade","E":1700053714680,"a":1421458451,"s":"ETHUSDT","p":"2016.57","q":"2.083","f":3361695273,"l":3361695286,"T":1700053714528,"m":true}
2023-11-15_13-08-35-+0000 {"e":"aggTrade","E":1700053714793,"a":1421458452,"s":"ETHUSDT","p":"2016.57","q":"2.030","f":3361695287,"l":3361695294,"T":1700053714791,"m":true}
2023-11-15_13-08-35-+0000 {"e":"aggTrade","E":1700053714925,"a":1421458453,"s":"ETHUSDT","p":"2016.56","q":"0.053","f":3361695295,"l":3361695299,"T":1700053714791,"m":true}
2023-11-15_13-08-35-+0000 {"e":"aggTrade","E":1700053715076,"a":1421458454,"s":"ETHUSDT","p":"2016.56","q":"1.445","f":3361695300,"l":3361695307,"T":1700053714923,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715630,"a":1421458455,"s":"ETHUSDT","p":"2016.56","q":"2.099","f":3361695308,"l":3361695317,"T":1700053715477,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458456,"s":"ETHUSDT","p":"2016.56","q":"0.222","f":3361695318,"l":3361695318,"T":1700053715888,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458457,"s":"ETHUSDT","p":"2016.57","q":"78.838","f":3361695319,"l":3361695345,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458459,"s":"ETHUSDT","p":"2016.60","q":"0.248","f":3361695356,"l":3361695356,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458460,"s":"ETHUSDT","p":"2016.62","q":"11.998","f":3361695357,"l":3361695358,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458461,"s":"ETHUSDT","p":"2016.63","q":"1.105","f":3361695359,"l":3361695359,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458462,"s":"ETHUSDT","p":"2016.64","q":"0.208","f":3361695360,"l":3361695360,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458463,"s":"ETHUSDT","p":"2016.66","q":"0.357","f":3361695361,"l":3361695361,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458464,"s":"ETHUSDT","p":"2016.67","q":"0.332","f":3361695362,"l":3361695362,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458465,"s":"ETHUSDT","p":"2016.68","q":"0.015","f":3361695363,"l":3361695363,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458466,"s":"ETHUSDT","p":"2016.69","q":"2.033","f":3361695364,"l":3361695365,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458467,"s":"ETHUSDT","p":"2016.70","q":"9.930","f":3361695366,"l":3361695368,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458468,"s":"ETHUSDT","p":"2016.71","q":"1.105","f":3361695369,"l":3361695369,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458469,"s":"ETHUSDT","p":"2016.73","q":"0.554","f":3361695370,"l":3361695370,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458470,"s":"ETHUSDT","p":"2016.74","q":"6.787","f":3361695371,"l":3361695374,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458471,"s":"ETHUSDT","p":"2016.76","q":"2.900","f":3361695375,"l":3361695377,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053715910,"a":1421458472,"s":"ETHUSDT","p":"2016.77","q":"2.593","f":3361695378,"l":3361695380,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053716009,"a":1421458473,"s":"ETHUSDT","p":"2016.78","q":"3.352","f":3361695381,"l":3361695396,"T":1700053715907,"m":false}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053716009,"a":1421458474,"s":"ETHUSDT","p":"2016.77","q":"18.765","f":3361695397,"l":3361695410,"T":1700053716007,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053716009,"a":1421458475,"s":"ETHUSDT","p":"2016.76","q":"0.010","f":3361695411,"l":3361695411,"T":1700053716007,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053716009,"a":1421458476,"s":"ETHUSDT","p":"2016.72","q":"0.950","f":3361695412,"l":3361695413,"T":1700053716007,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053716009,"a":1421458477,"s":"ETHUSDT","p":"2016.71","q":"2.990","f":3361695414,"l":3361695414,"T":1700053716007,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053716009,"a":1421458478,"s":"ETHUSDT","p":"2016.70","q":"0.013","f":3361695415,"l":3361695415,"T":1700053716007,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053716009,"a":1421458479,"s":"ETHUSDT","p":"2016.69","q":"0.015","f":3361695416,"l":3361695416,"T":1700053716007,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053716009,"a":1421458480,"s":"ETHUSDT","p":"2016.64","q":"6.975","f":3361695417,"l":3361695418,"T":1700053716007,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053716011,"a":1421458482,"s":"ETHUSDT","p":"2016.61","q":"4.958","f":3361695420,"l":3361695420,"T":1700053716007,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053716011,"a":1421458483,"s":"ETHUSDT","p":"2016.60","q":"0.124","f":3361695421,"l":3361695421,"T":1700053716007,"m":true}
2023-11-15_13-08-36-+0000 {"e":"aggTrade","E":1700053716011,"a":1421458484,"s":"ETHUSDT","p":"2016.59","q":"4.641","f":3361695422,"l":3361695423,"T":1700053716007,"m":true}
