2023-11-07 00:13:43,313 - INFO - {'e': '24hrTicker', 'E': 1699296223275, 's': 'BTCUSDT', 'p': '-110.94000000', 'P': '-0.317', 'w': '34996.96499007', 'x': '35016.80000000', 'c': '34905.86000000', 'Q': '0.00099000', 'b': '34905.85000000', 'B': '2.87305000', 'a': '34905.86000000', 'A': '0.76566000', 'o': '35016.80000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25490.77690000', 'q': '892099826.73886030', 'O': 1699209823274, 'C': 1699296223274, 'F': 3269483691, 'L': 3270573443, 'n': 1089753}
2023-11-07 00:13:45,354 - INFO - {'e': '24hrTicker', 'E': 1699296225275, 's': 'BTCUSDT', 'p': '-106.79000000', 'P': '-0.305', 'w': '34996.96356003', 'x': '35016.80000000', 'c': '34910.00000000', 'Q': '0.05753000', 'b': '34910.20000000', 'B': '5.08489000', 'a': '34910.21000000', 'A': '0.00224000', 'o': '35016.79000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25491.15896000', 'q': '892113161.22601190', 'O': 1699209825274, 'C': 1699296225274, 'F': 3269483700, 'L': 3270573517, 'n': 1089818}
2023-11-07 00:13:45,357 - INFO - {'e': '24hrTicker', 'E': 1699296225275, 's': 'BTCUSDT', 'p': '-106.79000000', 'P': '-0.305', 'w': '34996.96356003', 'x': '35016.80000000', 'c': '34910.00000000', 'Q': '0.05753000', 'b': '34910.20000000', 'B': '5.08489000', 'a': '34910.21000000', 'A': '0.00224000', 'o': '35016.79000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25491.15896000', 'q': '892113161.22601190', 'O': 1699209825274, 'C': 1699296225274, 'F': 3269483700, 'L': 3270573517, 'n': 1089818}
2023-11-07 00:13:47,397 - INFO - {'e': '24hrTicker', 'E': 1699296227187, 's': 'BTCUSDT', 'p': '-102.74000000', 'P': '-0.293', 'w': '34996.96292735', 'x': '35013.24000000', 'c': '34910.51000000', 'Q': '0.00300000', 'b': '34910.51000000', 'B': '9.02153000', 'a': '34910.52000000', 'A': '0.01264000', 'o': '35013.25000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25491.27568000', 'q': '892117229.94380500', 'O': 1699209827186, 'C': 1699296227186, 'F': 3269483722, 'L': 3270573531, 'n': 1089810}
2023-11-07 00:13:47,399 - INFO - {'e': '24hrTicker', 'E': 1699296227187, 's': 'BTCUSDT', 'p': '-102.74000000', 'P': '-0.293', 'w': '34996.96292735', 'x': '35013.24000000', 'c': '34910.51000000', 'Q': '0.00300000', 'b': '34910.51000000', 'B': '9.02153000', 'a': '34910.52000000', 'A': '0.01264000', 'o': '35013.25000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25491.27568000', 'q': '892117229.94380500', 'O': 1699209827186, 'C': 1699296227186, 'F': 3269483722, 'L': 3270573531, 'n': 1089810}
2023-11-07 00:13:49,426 - INFO - {'e': '24hrTicker', 'E': 1699296229206, 's': 'BTCUSDT', 'p': '-101.46000000', 'P': '-0.290', 'w': '34996.96203775', 'x': '35011.96000000', 'c': '34910.51000000', 'Q': '0.00042000', 'b': '34910.51000000', 'B': '9.02217000', 'a': '34910.52000000', 'A': '0.00977000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25489.86948000', 'q': '892067994.53884780', 'O': 1699209829205, 'C': 1699296229205, 'F': 3269483762, 'L': 3270573535, 'n': 1089774}
2023-11-07 00:13:49,426 - INFO - {'e': '24hrTicker', 'E': 1699296229206, 's': 'BTCUSDT', 'p': '-101.46000000', 'P': '-0.290', 'w': '34996.96203775', 'x': '35011.96000000', 'c': '34910.51000000', 'Q': '0.00042000', 'b': '34910.51000000', 'B': '9.02217000', 'a': '34910.52000000', 'A': '0.00977000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25489.86948000', 'q': '892067994.53884780', 'O': 1699209829205, 'C': 1699296229205, 'F': 3269483762, 'L': 3270573535, 'n': 1089774}
2023-11-07 00:13:51,470 - INFO - {'e': '24hrTicker', 'E': 1699296231254, 's': 'BTCUSDT', 'p': '-98.63000000', 'P': '-0.282', 'w': '34996.96156994', 'x': '35011.96000000', 'c': '34913.33000000', 'Q': '0.00070000', 'b': '34913.66000000', 'B': '3.85975000', 'a': '34913.67000000', 'A': '0.42573000', 'o': '35011.96000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25489.98228000', 'q': '892071930.27173850', 'O': 1699209831254, 'C': 1699296231254, 'F': 3269483774, 'L': 3270573562, 'n': 1089789}
2023-11-07 00:13:51,470 - INFO - {'e': '24hrTicker', 'E': 1699296231254, 's': 'BTCUSDT', 'p': '-98.63000000', 'P': '-0.282', 'w': '34996.96156994', 'x': '35011.96000000', 'c': '34913.33000000', 'Q': '0.00070000', 'b': '34913.66000000', 'B': '3.85975000', 'a': '34913.67000000', 'A': '0.42573000', 'o': '35011.96000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25489.98228000', 'q': '892071930.27173850', 'O': 1699209831254, 'C': 1699296231254, 'F': 3269483774, 'L': 3270573562, 'n': 1089789}
2023-11-07 00:13:53,522 - INFO - {'e': '24hrTicker', 'E': 1699296233265, 's': 'BTCUSDT', 'p': '-98.30000000', 'P': '-0.281', 'w': '34996.96143895', 'x': '35011.97000000', 'c': '34913.67000000', 'Q': '0.01158000', 'b': '34913.66000000', 'B': '3.60490000', 'a': '34913.67000000', 'A': '2.17136000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25489.96042000', 'q': '892071161.89917550', 'O': 1699209833264, 'C': 1699296233264, 'F': 3269483785, 'L': 3270573572, 'n': 1089788}
