2023-10-25 17:08:59,471 - INFO - {'e': 'aggTrade', 'E': 1698233940265, 's': 'BTCUSDT', 'a': 2738159264, 'p': '34278.74000000', 'q': '0.01167000', 'f': 3256541903, 'l': 3256541903, 'T': 1698233940265, 'm': True, 'M': True}
2023-10-25 17:08:59,471 - INFO - {'e': 'aggTrade', 'E': 1698233940265, 's': 'BTCUSDT', 'a': 2738159264, 'p': '34278.74000000', 'q': '0.01167000', 'f': 3256541903, 'l': 3256541903, 'T': 1698233940265, 'm': True, 'M': True}
2023-10-25 17:09:01,539 - INFO - {'e': 'aggTrade', 'E': 1698233942372, 's': 'BTCUSDT', 'a': 2738159271, 'p': '34278.74000000', 'q': '0.00173000', 'f': 3256541910, 'l': 3256541910, 'T': 1698233942372, 'm': True, 'M': True}
2023-10-25 17:09:01,539 - INFO - {'e': 'aggTrade', 'E': 1698233942372, 's': 'BTCUSDT', 'a': 2738159271, 'p': '34278.74000000', 'q': '0.00173000', 'f': 3256541910, 'l': 3256541910, 'T': 1698233942372, 'm': True, 'M': True}
2023-10-25 17:09:03,606 - INFO - {'e': 'aggTrade', 'E': 1698233944464, 's': 'ETHUSDT', 'a': 947962666, 'p': '1785.70000000', 'q': '0.00680000', 'f': 1216858293, 'l': 1216858293, 'T': 1698233944463, 'm': False, 'M': True}
2023-10-25 17:09:03,606 - INFO - {'e': 'aggTrade', 'E': 1698233944464, 's': 'ETHUSDT', 'a': 947962666, 'p': '1785.70000000', 'q': '0.00680000', 'f': 1216858293, 'l': 1216858293, 'T': 1698233944463, 'm': False, 'M': True}
2023-10-25 17:09:05,688 - INFO - {'e': 'aggTrade', 'E': 1698233946504, 's': 'BTCUSDT', 'a': 2738159289, 'p': '34278.74000000', 'q': '0.00291000', 'f': 3256541932, 'l': 3256541932, 'T': 1698233946503, 'm': True, 'M': True}
2023-10-25 17:09:05,688 - INFO - {'e': 'aggTrade', 'E': 1698233946504, 's': 'BTCUSDT', 'a': 2738159289, 'p': '34278.74000000', 'q': '0.00291000', 'f': 3256541932, 'l': 3256541932, 'T': 1698233946503, 'm': True, 'M': True}
2023-10-25 17:09:07,751 - INFO - {'e': 'aggTrade', 'E': 1698233948591, 's': 'BTCUSDT', 'a': 2738159296, 'p': '34278.74000000', 'q': '0.24494000', 'f': 3256541939, 'l': 3256541939, 'T': 1698233948591, 'm': True, 'M': True}
2023-10-25 17:09:07,751 - INFO - {'e': 'aggTrade', 'E': 1698233948591, 's': 'BTCUSDT', 'a': 2738159296, 'p': '34278.74000000', 'q': '0.24494000', 'f': 3256541939, 'l': 3256541939, 'T': 1698233948591, 'm': True, 'M': True}
2023-10-25 17:09:09,829 - INFO - {'e': 'aggTrade', 'E': 1698233950568, 's': 'BTCUSDT', 'a': 2738159347, 'p': '34283.91000000', 'q': '0.01777000', 'f': 3256541999, 'l': 3256541999, 'T': 1698233950568, 'm': True, 'M': True}
2023-10-25 17:09:09,829 - INFO - {'e': 'aggTrade', 'E': 1698233950568, 's': 'BTCUSDT', 'a': 2738159347, 'p': '34283.91000000', 'q': '0.01777000', 'f': 3256541999, 'l': 3256541999, 'T': 1698233950568, 'm': True, 'M': True}
2023-10-25 17:09:11,914 - INFO - {'e': 'aggTrade', 'E': 1698233952780, 's': 'BTCUSDT', 'a': 2738159358, 'p': '34284.72000000', 'q': '0.00611000', 'f': 3256542012, 'l': 3256542013, 'T': 1698233952779, 'm': True, 'M': True}
2023-10-25 17:09:11,919 - INFO - {'e': 'aggTrade', 'E': 1698233952780, 's': 'BTCUSDT', 'a': 2738159358, 'p': '34284.72000000', 'q': '0.00611000', 'f': 3256542012, 'l': 3256542013, 'T': 1698233952779, 'm': True, 'M': True}
2023-10-25 17:09:13,984 - INFO - {'e': 'aggTrade', 'E': 1698233954860, 's': 'BTCUSDT', 'a': 2738159369, 'p': '34283.91000000', 'q': '0.27236000', 'f': 3256542030, 'l': 3256542038, 'T': 1698233954859, 'm': True, 'M': True}
2023-10-25 17:09:13,984 - INFO - {'e': 'aggTrade', 'E': 1698233954860, 's': 'BTCUSDT', 'a': 2738159369, 'p': '34283.91000000', 'q': '0.27236000', 'f': 3256542030, 'l': 3256542038, 'T': 1698233954859, 'm': True, 'M': True}
2023-10-25 17:09:16,060 - INFO - {'e': 'aggTrade', 'E': 1698233956924, 's': 'BTCUSDT', 'a': 2738159403, 'p': '34281.34000000', 'q': '0.00134000', 'f': 3256542073, 'l': 3256542073, 'T': 1698233956924, 'm': True, 'M': True}
2023-10-25 17:09:16,064 - INFO - {'e': 'aggTrade', 'E': 1698233956924, 's': 'BTCUSDT', 'a': 2738159403, 'p': '34281.34000000', 'q': '0.00134000', 'f': 3256542073, 'l': 3256542073, 'T': 1698233956924, 'm': True, 'M': True}
2023-10-25 17:09:18,133 - INFO - {'e': 'aggTrade', 'E': 1698233958720, 's': 'ETHUSDT', 'a': 947962724, 'p': '1786.05000000', 'q': '0.08780000', 'f': 1216858360, 'l': 1216858360, 'T': 1698233958719, 'm': True, 'M': True}
